nombre,poblacion,superficie,continente
Slovenia ,2010347,20273,EASTERN EUROPE                     
Solomon Islands ,552438,28450,OCEANIA                            
Somalia ,8863338,637657,SUB-SAHARAN AFRICA                 
South Africa ,44187637,1219912,SUB-SAHARAN AFRICA                 
Spain ,40397842,504782,WESTERN EUROPE                     
Sri Lanka ,20222240,65610,ASIA (EX. NEAR EAST)         
Sudan ,41236378,2505810,SUB-SAHARAN AFRICA                 
Suriname ,439117,163270,LATIN AMER. & CARIB    
Swaziland ,1136334,17363,SUB-SAHARAN AFRICA                 
Sweden ,9016596,449964,WESTERN EUROPE                     
Switzerland ,7523934,41290,WESTERN EUROPE                     
Syria ,18881361,185180,NEAR EAST                          
Taiwan ,23036087,35980,ASIA (EX. NEAR EAST)         
Tajikistan ,7320815,143100,C.W. OF IND. STATES 
Tanzania ,37445392,945087,SUB-SAHARAN AFRICA                 
Thailand ,64631595,514000,ASIA (EX. NEAR EAST)         
Togo ,5548702,56785,SUB-SAHARAN AFRICA                 
Tonga ,114689,748,OCEANIA                            
Trinidad & Tobago ,1065842,5128,LATIN AMER. & CARIB    
Tunisia ,10175014,163610,NORTHERN AFRICA                    
Turkey ,70413958,780580,NEAR EAST                          
Turkmenistan ,5042920,488100,C.W. OF IND. STATES 
Turks & Caicos Is ,21152,430,LATIN AMER. & CARIB    
Tuvalu ,11810,26,OCEANIA                            
Uganda ,28195754,236040,SUB-SAHARAN AFRICA                 
Ukraine ,46710816,603700,C.W. OF IND. STATES 
United Arab Emirates ,2602713,82880,NEAR EAST                          
United Kingdom ,60609153,244820,WESTERN EUROPE                     
United States ,298444215,9631420,NORTHERN AMERICA                   
Uruguay ,3431932,176220,LATIN AMER. & CARIB    
Uzbekistan ,27307134,447400,C.W. OF IND. STATES 
Vanuatu ,208869,12200,OCEANIA                            
Venezuela ,25730435,912050,LATIN AMER. & CARIB    
Vietnam ,84402966,329560,ASIA (EX. NEAR EAST)         
Virgin Islands ,108605,1910,LATIN AMER. & CARIB    
Wallis and Futuna ,16025,274,OCEANIA                            
West Bank ,2460492,5860,NEAR EAST                          
Western Sahara ,273008,266000,NORTHERN AFRICA                    
Yemen ,21456188,527970,NEAR EAST                          
Zambia ,11502010,752614,SUB-SAHARAN AFRICA                 
Zimbabwe ,12236805,390580,SUB-SAHARAN AFRICA
